Date,AAPL
2004-09-27,9.1500
2004-09-28,8.7600
2004-09-29,8.7500
2004-09-30,8.9700
2004-10-01,9.2500
2004-10-04,9.4700
2004-10-05,9.6300
2004-10-06,9.4500
2004-10-07,9.4500
2004-10-08,9.4000
2004-10-11,9.2300
2004-10-12,9.0000
2004-10-13,9.0100
2004-10-14,9.0400
2004-10-15,8.9500
2004-10-18,9.0400
2004-10-19,9.2700
2004-10-20,9.1000
2004-10-21,9.1000
2004-10-22,9.1700
2004-10-25,8.7300
2004-10-26,8.9200
2004-10-27,9.0100
2004-10-28,9.1900
2004-10-29,9.2500
2004-11-01,9.2000
2004-11-02,9.2500
2004-11-03,9.3400
2004-11-04,9.2800
2004-11-05,9.5000
2004-11-08,9.5000
2004-11-09,9.4800
2004-11-10,9.5000
2004-11-11,9.5000
2004-11-12,9.4600
2004-11-15,9.4800
2004-11-16,9.6600
2004-11-17,9.9500
2004-11-18,10.0000
2004-11-19,9.7600
2004-11-22,9.8300
2004-11-23,10.0000
2004-11-24,10.6000
2004-11-26,10.5100
2004-11-29,11.1500
2004-11-30,11.1300
2004-12-01,11.1700
2004-12-02,11.4100
2004-12-03,11.5600
2004-12-06,11.5500
2004-12-07,11.4500
2004-12-08,10.9500
2004-12-09,11.0500
2004-12-10,10.7500
2004-12-13,10.8700
2004-12-14,10.9700
2004-12-15,11.3700
2004-12-16,11.4000
2004-12-17,11.3000
2004-12-20,11.3200
2004-12-21,11.4600
2004-12-22,11.4600
2004-12-23,11.6000
2004-12-27,11.6600
2004-12-28,11.7000
2004-12-29,11.6400
2004-12-30,11.3900
2004-12-31,11.9200
2005-01-03,12.0600
2005-01-04,11.7800
2005-01-05,11.3400
2005-01-06,11.1000
2005-01-07,11.3000
2005-01-10,10.7000
2005-01-11,10.7600
2005-01-12,10.7000
2005-01-13,11.0300
2005-01-14,11.1200
2005-01-18,10.9900
2005-01-19,10.6000
2005-01-20,10.6500
2005-01-21,10.6000
2005-01-24,10.4500
2005-01-25,10.8400
