Date,AAPL
1999-11-01,74.7500
1999-11-02,74.1200
1999-11-03,73.0000
1999-11-04,73.0000
1999-11-05,70.6200
1999-11-08,74.3100
1999-11-09,75.3100
1999-11-10,76.0000
1999-11-11,76.8100
1999-11-12,77.8700
1999-11-15,78.0000
1999-11-16,79.1900
1999-11-17,80.2500
1999-11-18,81.0600
1999-11-19,79.6900
1999-11-22,79.5500
1999-11-23,78.0000
1999-11-24,79.1200
1999-11-26,78.0000
1999-11-29,79.3700
1999-11-30,79.3100
1999-12-01,82.5000
1999-12-02,82.0800
1999-12-03,82.5300
1999-12-06,83.8800
1999-12-07,83.8800
1999-12-08,83.4800
1999-12-09,86.1300
1999-12-10,82.8100
1999-12-13,82.6600
1999-12-14,82.3800
1999-12-15,83.0600
1999-12-16,83.7500
1999-12-17,82.6200
1999-12-20,81.9200
1999-12-21,80.7500
1999-12-22,81.0000
1999-12-23,83.8100
1999-12-27,82.0000
1999-12-28,80.6900
1999-12-29,81.1900
1999-12-30,80.4400
1999-12-31,80.5600
2000-01-03,78.3100
2000-01-04,76.8100
2000-01-05,80.6300
2000-01-06,85.1900
2000-01-07,84.9400
2000-01-10,83.7500
2000-01-11,84.7500
2000-01-12,83.5000
2000-01-13,85.4400
2000-01-14,83.7500
2000-01-18,84.7500
2000-01-19,85.5600
2000-01-20,83.6900
2000-01-21,85.0000
2000-01-24,84.2500
2000-01-25,84.0600
2000-01-26,83.5000
2000-01-27,81.0000
2000-01-28,78.8800
2000-01-31,82.8800
2000-02-01,83.1900
2000-02-02,83.8100
2000-02-03,82.3800
2000-02-04,80.8800
2000-02-07,80.7500
2000-02-08,78.9400
2000-02-09,76.2500
2000-02-10,75.8800
2000-02-11,73.8800
2000-02-14,76.4400
2000-02-15,79.3100
2000-02-16,80.0000
2000-02-17,77.8800
2000-02-18,75.0000
2000-02-22,75.4400
2000-02-23,74.6300
2000-02-24,72.8100
2000-02-25,71.0600
2000-02-28,73.5000
2000-02-29,75.3100
2000-03-01,76.0600
2000-03-02,77.0000
2000-03-03,75.6900
2000-03-06,72.9400
2000-03-07,80.0000
2000-03-08,79.6300
2000-03-09,80.4400
2000-03-10,77.0300
2000-03-13,75.8800
2000-03-14,77.2500
2000-03-15,77.7500
2000-03-16,79.7500
2000-03-17,77.1300
2000-03-20,74.8800
2000-03-21,77.0000
2000-03-22,74.9400
2000-03-23,75.5000
2000-03-24,77.2500
2000-03-27,76.5100
2000-03-28,79.0000
2000-03-29,80.5000
2000-03-30,78.6300
2000-03-31,78.0000
2000-04-03,80.5000
2000-04-04,82.5000
2000-04-05,79.7500
2000-04-06,81.7500
2000-04-07,79.5600
2000-04-10,78.2500
2000-04-11,79.3800
2000-04-12,79.9400
2000-04-13,80.0000
2000-04-14,78.7500
2000-04-17,75.5000
2000-04-18,76.1900
2000-04-19,77.4400
2000-04-20,79.0000
2000-04-24,79.8800
2000-04-25,81.0000
2000-04-26,80.1300
2000-04-27,80.6900
2000-04-28,77.6900
2000-05-01,78.0000
2000-05-02,78.2500
2000-05-03,77.5000
2000-05-04,79.5000
2000-05-05,80.0000
2000-05-08,80.4400
2000-05-09,79.4400
2000-05-10,81.5000
2000-05-11,82.9400
2000-05-12,82.0200
2000-05-15,83.6300
2000-05-16,83.2500
2000-05-17,81.3800
2000-05-18,81.4500
2000-05-19,81.7500
2000-05-22,83.3100
2000-05-23,83.0000
2000-05-24,82.9400
2000-05-25,81.4400
2000-05-26,82.3800
2000-05-30,83.5000
2000-05-31,83.3100
2000-06-01,82.9400
2000-06-02,79.1900
2000-06-05,79.3100
2000-06-06,82.3100
2000-06-07,81.1300
2000-06-08,80.0600
2000-06-09,79.1900
2000-06-12,80.7500
2000-06-13,81.1900
2000-06-14,82.6300
2000-06-15,82.4400
2000-06-16,84.3800
2000-06-19,84.0600
2000-06-20,83.2500
2000-06-21,83.9500
2000-06-22,82.6900
2000-06-23,83.1300
2000-06-26,83.3600
2000-06-27,82.0600
2000-06-28,82.1300
2000-06-29,81.2000
2000-06-30,78.5000
2000-07-03,79.5500
2000-07-05,76.9400
2000-07-06,78.1900
2000-07-07,78.5200
2000-07-10,78.1300
2000-07-11,80.5600
2000-07-12,78.6100
2000-07-13,78.0000
2000-07-14,77.5600
2000-07-17,78.7500
2000-07-18,78.1900
2000-07-19,78.6900
2000-07-20,78.1300
2000-07-21,77.1300
2000-07-24,77.2500
2000-07-25,75.3800
2000-07-26,76.1900
2000-07-27,80.5000
2000-07-28,80.0000
2000-07-31,80.1900
2000-08-01,80.0000
2000-08-02,82.8800
2000-08-03,81.4400
2000-08-04,81.7000
2000-08-07,80.8900
2000-08-08,80.8000
2000-08-09,81.0600
2000-08-10,81.0000
2000-08-11,81.3800
2000-08-14,82.5600
2000-08-15,81.3100
2000-08-16,82.3800
2000-08-17,83.8100
2000-08-18,82.9400
2000-08-21,83.5000
2000-08-22,83.1300
